Timestamp,Length,Protocol
1734275115.40806,66,TCP
1734275115.408061,66,TCP
1734275115.408061,66,TCP
1734275115.408062,66,TCP
1734275115.408063,66,TCP
1734275115.409733,66,TCP
1734275115.409746,4410,DATA
1734275115.410679,4410,DATA
1734275115.410685,66,TCP
1734275115.411449,4410,DATA
1734275115.411444,66,TCP
1734275115.412787,4410,DATA
1734275115.412881,66,TCP
1734275115.413122,66,TCP
1734275115.413691,4410,DATA
1734275115.416876,4410,DATA
1734275115.416883,66,TCP
1734275115.418355,4410,DATA
1734275115.418291,66,TCP
1734275115.418757,66,TCP
1734275115.419023,4410,DATA
1734275115.420194,4410,DATA
1734275115.420855,4410,DATA
1734275115.422763,4410,DATA
1734275115.423129,66,TCP
1734275115.423129,66,TCP
1734275115.42313,66,TCP
1734275115.423381,4410,DATA
1734275115.425585,4410,DATA
1734275115.425652,66,TCP
1734275115.425653,66,TCP
1734275115.42577,66,TCP
1734275115.426363,4410,DATA
1734275115.426584,66,TCP
1734275115.427737,4410,DATA
1734275115.428155,66,TCP
1734275115.428255,66,TCP
1734275115.428497,4410,DATA
1734275115.429311,4410,DATA
1734275115.431678,4410,DATA
1734275115.432091,66,TCP
1734275115.432092,66,TCP
1734275115.432422,4410,DATA
1734275115.434226,4410,DATA
1734275115.434345,66,TCP
1734275115.43567,4410,DATA
1734275115.43637,4410,DATA
1734275115.437447,4410,DATA
1734275115.438416,4410,DATA
1734275115.438425,66,TCP
1734275115.438426,66,TCP
1734275115.439766,4410,DATA
1734275115.440508,4410,DATA
1734275115.440916,66,TCP
1734275115.441187,66,TCP
1734275115.441389,4410,DATA
1734275115.441816,66,TCP
1734275115.442297,4410,DATA
1734275115.443122,4410,DATA
1734275115.443423,66,TCP
1734275115.444072,4410,DATA
1734275115.444332,66,TCP
1734275115.445808,4410,DATA
1734275115.446714,4410,DATA
1734275115.447719,4410,DATA
1734275115.447652,66,TCP
1734275115.448646,4410,DATA
1734275115.449654,4410,DATA
1734275115.449715,66,TCP
1734275115.449715,66,TCP
